IsTypeOf(Adenine, NitrogenousBases).
IsTypeOf(AestheticsTeleology, CritiqueOfJudgment).
IsTypeOf(Africa, FitOfContinents).
IsTypeOf(Alzheimers, Diseases).
IsTypeOf(AncientEgypt, CentralizedMonarchy).
IsTypeOf(AncientEgypt, Polytheistic).
IsTypeOf(AncientEgypt, PolytheisticReligion).
IsTypeOf(AncientEgypt, RomanProvince).
IsTypeOf(Artisans, HierarchicalSociety).
IsTypeOf(BlackDeath, Disease).
IsTypeOf(ByzantineEmpire, RomanEmpire).
IsTypeOf(CPU, Hardware).
IsTypeOf(CategoricalImperative, DeontologicalEthics).
IsTypeOf(ChartresCathedral, GothicCathedrals).
IsTypeOf(CologneCathedral, GothicCathedrals).
IsTypeOf(Computer, ElectronicDevice).
IsTypeOf(Convergent, PlateBoundaries).
IsTypeOf(Convergent, PlateBoundary).
IsTypeOf(ConvergentBoundaries, PlateBoundaries).
IsTypeOf(ConvergentBoundary, PlateBoundaries).
IsTypeOf(ConvergentBoundary, PlateBoundary).
IsTypeOf(Cortex, Regions).
IsTypeOf(Cytosine, NitrogenousBases).
IsTypeOf(DeclarationOfTheRightsOfMan, PoliticalDocument).
IsTypeOf(Divergent, PlateBoundaries).
IsTypeOf(Divergent, PlateBoundary).
IsTypeOf(DivergentBoundaries, PlateBoundaries).
IsTypeOf(DivergentBoundary, PlateBoundaries).
IsTypeOf(DivergentBoundary, PlateBoundary).
IsTypeOf(EndOfMonarchy, PoliticalOutcome).
IsTypeOf(EndOfMonarchy, Republic).
IsTypeOf(EstatesGeneral, Assembly).
IsTypeOf(EstatesGeneral, PoliticalEvent).
IsTypeOf(Ethics, DeontologicalEthics).
IsTypeOf(EurasianPlate, MajorPlates).
IsTypeOf(Farmers, HierarchicalSociety).
IsTypeOf(FerdinandVonRichthofen, Geographer).
IsTypeOf(France, Republic).
IsTypeOf(FrenchRevolution, RadicalSocialPoliticalUpheaval).
IsTypeOf(GizaPyramids, Pyramids).
IsTypeOf(GlobalImpact, PoliticalOutcome).
IsTypeOf(Glucose, AcetylCoAProducer).
IsTypeOf(GothicCathedrals, ArchitecturalInnovations).
IsTypeOf(GothicCathedrals, Grandeur).
IsTypeOf(GothicCathedrals, UNESCOWorldHeritageSites).
IsTypeOf(GreatPyramidOfGiza, Pyramid).
IsTypeOf(GreatPyramidOfGiza, Pyramids).
IsTypeOf(GreatPyramidOfGiza, WonderOfTheAncientWorld).
IsTypeOf(Guanine, NitrogenousBases).
IsTypeOf(HanDynasty, Dynasty).
IsTypeOf(Hatshepsut, Pharaoh).
IsTypeOf(Himalayas, ConvergentBoundary).
IsTypeOf(Himalayas, MountainFormation).
IsTypeOf(Hippocampus, Regions).
IsTypeOf(ImmanuelKant, GermanEnlightenmentPhilosopher).
IsTypeOf(ImmanuelKant, GermanPhilosopher).
IsTypeOf(Isis, God).
IsTypeOf(Isis, Gods).
IsTypeOf(Isis, Polytheistic).
IsTypeOf(Jacobins, Radical).
IsTypeOf(KantEthics, DeontologicalEthics).
IsTypeOf(KantMoralPhilosophy, Deontological).
IsTypeOf(Karnak, Temple).
IsTypeOf(KeynesianEconomics, MacroeconomicTheory).
IsTypeOf(Khufu, Pharaoh).
IsTypeOf(KrebsCycle, Aerobic).
IsTypeOf(KrebsCycle, AerobicRespiration).
IsTypeOf(KrebsCycle, CellularRespiration).
IsTypeOf(KrebsCycle, CitricAcidCycle).
IsTypeOf(KrebsCycle, MetabolicPathway).
IsTypeOf(KrebsCycle, TcaCycle).
IsTypeOf(KrebsCycle, ZentralerMetabolischerWeg).
IsTypeOf(Landforms, Mountains).
IsTypeOf(Landforms, RiftValleys).
IsTypeOf(Landforms, Trenches).
IsTypeOf(Lithosphere, RigidOuterLayer).
IsTypeOf(MachineLearning, ArtificialIntelligence).
IsTypeOf(MagneticStriping, SeafloorSpreading).
IsTypeOf(MainSequenceStars, Sun).
IsTypeOf(MassiveStars, HeavyElementFormationSite).
IsTypeOf(Metaphysics, LimitsOfReason).
