IsDefinedAs(30BCE, BecameRomanProvince).
IsDefinedAs(332BCE, FallToAlexanderTheGreat).
IsDefinedAs(APosterioriKnowledge, DependentOnExperience).
IsDefinedAs(APrioriKnowledge, IndependentOfExperience).
IsDefinedAs(AbolitionOfFeudalism, EliminatedPrivileges).
IsDefinedAs(AdvancedFusion, FusionInMassiveStars).
IsDefinedAs(AdvancedFusion, FusionVonElementenZuNeonMagnesiumSiliconUndIron).
IsDefinedAs(AdvancedFusion, ProduceHeavierElements).
IsDefinedAs(AestheticJudgment, SubjectiveUniversallyCommunicable).
IsDefinedAs(Aesthetics, SubjectiveButUniversallyCommunicableBeauty).
IsDefinedAs(Aesthetics, SubjectiveJudgmentsDemandUniversalAgreement).
IsDefinedAs(AestheticsAndJudgment, SubjectiveJudgmentsOfBeauty).
IsDefinedAs(AlphaProcess, FormationOfHeavierElementsUpToIron).
IsDefinedAs(AncientEgypt, Hierarchical).
IsDefinedAs(AncientEgypt, HierarchicalSociety).
IsDefinedAs(AncientEgypt, Hieroglyphics).
IsDefinedAs(AncientEgypt, Hieroglyphs).
IsDefinedAs(AncientEgypt, Polytheistic).
IsDefinedAs(AncientEgypt, PolytheisticReligion).
IsDefinedAs(AncientEgypt, RomanProvince).
IsDefinedAs(AncientEgypt, Theocracy).
IsDefinedAs(AntiparallelStrands, OppositeDirections).
IsDefinedAs(Asthenosphere, SemiFluidLayer).
IsDefinedAs(Asthenosphere, SemiFluidLayerBeneath).
IsDefinedAs(AutonomyAndReason, CapacityToSelfLegislateRationalLaws).
IsDefinedAs(AutonomyAndReason, MoralAutonomy).
IsDefinedAs(AutonomyAndReason, SelfGovernanceThroughRationalMoralLaw).
IsDefinedAs(Beauty, DisinterestedPleasure).
IsDefinedAs(BiasVarianceTradeoff, BalanceUnderfittingOverfitting).
IsDefinedAs(BiasVarianceTradeoff, BalancingUnderfittingOverfitting).
IsDefinedAs(BigBang, FormLightestElements).
IsDefinedAs(BigBang, FormedLightestElements).
IsDefinedAs(ByzantineEmpire, BridgeAntiquityMedieval).
IsDefinedAs(ByzantineEmpire, Decline).
IsDefinedAs(ByzantineEmpire, EasternContinuationOfRomanEmpire).
IsDefinedAs(ByzantineEmpire, MajorMedievalPower).
IsDefinedAs(ByzantineEmpire, OttomanTurks).
IsDefinedAs(ByzantineEmpire, Over1000Years).
IsDefinedAs(ByzantineEmpire, Romans).
IsDefinedAs(CategoricalImperative, ActAccordingToUniversalLaws).
IsDefinedAs(CategoricalImperative, ActAccordingToUniversalMaxims).
IsDefinedAs(CategoricalImperative, ActOnUniversalizablePrinciples).
IsDefinedAs(CategoricalImperative, CentralMoralPrinciple).
IsDefinedAs(CategoricalImperative, DeontologicalEthics).
IsDefinedAs(CategoricalImperative, HumanityAsAnEnd).
IsDefinedAs(CategoricalImperative, HumanityAsEnd).
IsDefinedAs(CategoricalImperative, ImagineKingdomOfEnds).
IsDefinedAs(CategoricalImperative, TreatOthersAsEnds).
IsDefinedAs(CategoricalImperative, UniversalLaw).
IsDefinedAs(CategoricalImperative, Universalizability).
IsDefinedAs(CategoricalImperative, UniversalizableActions).
IsDefinedAs(CategoricalImperative,UniversalMoralLaw).
IsDefinedAs(CategoriesOfUnderstanding, InnateCategories).
IsDefinedAs(ConnectionToOtherPathways, AnapleroticReactions).
IsDefinedAs(ConnectionToOtherPathways, LinksElectronTransportChain).
IsDefinedAs(ConnectionToOtherPathways, LinksGlycolysis).
