HasProperty(AcademicPursuitIt, PracticalApplicationsIn).
HasProperty(AdvancedFusion, CarbonZuNeonUndMagnesium).
HasProperty(AdvancedFusion, FusionZuSchwererenElementen).
HasProperty(AdvancedFusion, OxygenZuSiliconUndSulfur).
HasProperty(AdvancedFusion, SiliconZuIronUndNickel).
HasProperty(Aesthetics, RootedInDisinterestedPleasure).
HasProperty(AestheticsAndJudgment, SubjectiveButUniversalAgreement).
HasProperty(AestheticsAndTeleology, BeautyAsSubjectiveButUniversal).
HasProperty(AestheticsAndTeleology, ExplorePurposivenessInNature).
HasProperty(AggregateDemand, DrivesEconomicActivity).
HasProperty(Algorithms, DecisionTrees).
HasProperty(Algorithms, MakesPredictions).
HasProperty(Algorithms, MathematicalModels).
HasProperty(Algorithms, NeuralNetworks).
HasProperty(Algorithms, SVMs).
HasProperty(AncientEgypt, AdvancedArchitecture).
HasProperty(AncientEgypt, AdvancedAstronomy).
HasProperty(AncientEgypt, AdvancedEngineering).
HasProperty(AncientEgypt, AdvancedInArchitecture).
HasProperty(AncientEgypt, AdvancedInAstronomy).
HasProperty(AncientEgypt, AdvancedInMedicine).
HasProperty(AncientEgypt, AdvancedMath).
HasProperty(AncientEgypt, AdvancedMathematics).
HasProperty(AncientEgypt, AdvancedMedicine).
HasProperty(AncientEgypt, AdvancesInArchitecture).
HasProperty(AncientEgypt, AdvancesInAstronomy).
HasProperty(AncientEgypt, AdvancesInEngineering).
HasProperty(AncientEgypt, AdvancesInMathematics).
HasProperty(AncientEgypt, AdvancesInMedicine).
HasProperty(AncientEgypt, AfterlifeBelief).
HasProperty(AncientEgypt, Architecture).
HasProperty(AncientEgypt, ArchitectureAdvances).
HasProperty(AncientEgypt, ArchitectureInfluence).
HasProperty(AncientEgypt, Art).
HasProperty(AncientEgypt, ArtInfluence).
HasProperty(AncientEgypt, Astronomy).
HasProperty(AncientEgypt, AstronomyAdvances).
HasProperty(AncientEgypt, BeliefInAfterlife).
HasProperty(AncientEgypt, CulturalInfluence).
HasProperty(AncientEgypt, CultureInfluence).
HasProperty(AncientEgypt, EarlyScience).
HasProperty(AncientEgypt, EarlyScientificContributions).
HasProperty(AncientEgypt, EarlySurgicalTechniques).
HasProperty(AncientEgypt, Governance).
HasProperty(AncientEgypt, Hieroglyphs).
HasProperty(AncientEgypt, InfluencedArchitecture).
HasProperty(AncientEgypt, InfluencedArt).
HasProperty(AncientEgypt, InfluencedCulture).
HasProperty(AncientEgypt, InfluencedGlobalArt).
HasProperty(AncientEgypt, InfluencedGlobalCulture).
HasProperty(AncientEgypt, InfluencedGlobalScience).
HasProperty(AncientEgypt, Innovations).
HasProperty(AncientEgypt, Mathematics).
HasProperty(AncientEgypt, Medicine).
HasProperty(AncientEgypt, MedicineAdvances).
HasProperty(AncientEgypt, MonumentalArchitecture).
HasProperty(AncientEgypt, Mummification).
HasProperty(AncientEgypt, Polytheistic).
HasProperty(AncientEgypt, Trade).
HasProperty(AndEachConnection, AssociatedWeight).
HasProperty(Applications, FinanceFraudDetection).
HasProperty(Applications, HealthcareDiagnostics).
HasProperty(Applications, NLP).
HasProperty(AristotlesEmp, OnWisdom).
HasProperty(Asthenosphere, SemiFluid).
HasProperty(AutonomyAndEnlightenment, RationalSelfGovernance).
HasProperty(AutonomyAndReason, MoralityFromRationalAutonomy).
HasProperty(AutonomyAndReason, RationalAutonomy).
HasProperty(AutonomyOfReason, MoralDutyArisesFromSelfGivenReasonLaws).
HasProperty(AverageSurfaceTemperature, IncreasedByApproximately).
HasProperty(BiasVarianceTradeoff, Bias).
HasProperty(BiasVarianceTradeoff, Overfitting).
HasProperty(BiasVarianceTradeoff, Underfitting).
HasProperty(BiasVarianceTradeoff, Variance).
HasProperty(BlackHole, InfiniteDensity).
HasProperty(Brain, Complexity).
HasProperty(Brain, Consume20PercentEnergy).
HasProperty(Brain, EnergyUse).
HasProperty(Brain, HighComplexity).
HasProperty(Brain, HighEnergyUse).
HasProperty(Brain, Plasticity).
HasProperty(Brain, TrillionsOfSynapses).
HasProperty(ButRigorousP, EdTrialsIn).
HasProperty(ByzantineEmpire, BlendedGreekAndChristianInfluences).
HasProperty(ByzantineEmpire, Christian).
HasProperty(ByzantineEmpire, ChristianInfluences).
HasProperty(ByzantineEmpire, ChristianOrthodoxState).
HasProperty(ByzantineEmpire, ChristianState).
HasProperty(ByzantineEmpire, Christianity).
HasProperty(ByzantineEmpire, EasternOrthodox).
HasProperty(ByzantineEmpire, GreatSchism).
HasProperty(ByzantineEmpire, GreekInfluence).
HasProperty(ByzantineEmpire, GreekInfluences).
HasProperty(ByzantineEmpire, GreekRomanKnowledge).
HasProperty(ByzantineEmpire, InfluencedEasternEurope).
HasProperty(ByzantineEmpire, LastedOver1000Years).
HasProperty(ByzantineEmpire, MaintainedRomanTraditions).
HasProperty(ByzantineEmpire, OfficiallyChristian).
HasProperty(ByzantineEmpire, OrthodoxChristianity).
HasProperty(ByzantineEmpire, Over1000Years).
HasProperty(ByzantineEmpire, PreservedGrecoRomanCulture).
HasProperty(ByzantineEmpire, RomanTraditions).
HasProperty(ByzantineEmpire, ShapedOrthodoxChristianity).
HasProperty(ByzantineEmpire, SlavicCultures).
HasProperty(ByzantineEmpire, SurvivedInvasions).
HasProperty(ByzantineEmpire, SurvivedOver1000Years).
HasProperty(CategoriesOfUnderstanding, InnateCategories).
HasProperty(CategoriesOfUnderstanding,Quality).
HasProperty(CategoriesOfUnderstanding,Quantity).
HasProperty(CategoriesOfUnderstanding,Relation).
HasProperty(ChartresCathedral, FamedForLabyrinth).
HasProperty(ChartresCathedral, FamedForRelics).
HasProperty(ChartresCathedral, FamedStainedGlass).
HasProperty(ChartresCathedral, IntactMedievalGlass).
HasProperty(ClassicalEconomics, LimitedGovernment).
HasProperty(ClassicalEconomics, MarketSelfCorrection).
HasProperty(CologneCathedral, TallestTwinSpire).
HasProperty(Commoners, HeavyTaxes).
HasProperty(ContinentalDrift, MatchingFossilRecords).
HasProperty(ContinentalDrift, MatchingFossils).
HasProperty(ContinentalDrift, MatchingRockFormations).
HasProperty(ContinentalDrift, PangaeaBreakup).
HasProperty(ContinentalDrift, SupportedByPlateTectonics).
HasProperty(Convergent, Himalayas).
HasProperty(Convergent, MountainFormation).
HasProperty(Convergent, PlatesCollide).
HasProperty(Convergent, SubductionZones).
HasProperty(CounterCyclicalPolicies, BalanceEconomy).
HasProperty(CriticalPhilosophy, KnowledgeBeginsWithExperience).
HasProperty(CriticalPhilosophy,StructuredByInnateCategories).
HasProperty(CriticismOfSelfCorrectingMarkets, ChallengesClassicalEconomics).
HasProperty(CritiqueOfPureReason, HumanReason).
HasProperty(Cryptographic, HOf).
HasProperty(DNA, AntiparallelStrands).
HasProperty(DNA, ChargaffsRules).
HasProperty(DNA, ComplementaryStrands).
HasProperty(DNA, Directionality).
HasProperty(DNA, DoubleHelix).
HasProperty(DNA, Supercoiling).
HasProperty(DNAStrands, Directionality).
HasProperty(Data, HighQuality).
HasProperty(Data, HighQualityRepresentative).
HasProperty(Data, RepresentativeDatasets).
HasProperty(DeclarationOfTheRightsOfMan, PrinciplesOfLiberty).
HasProperty(DeclarationOfTheRightsOfManAndCitizen, EstablishedEqualityFreedoms).
HasProperty(Development, CriticalLearningPeriods).
HasProperty(Development, EarlyLifeFormation).
HasProperty(Divergent, MidOceanRidges).
HasProperty(Divergent, PlatesMoveApart).
HasProperty(Emp, IzedNeed).
HasProperty(Emp, OnSocial).
HasProperty(EndMonarchy, FranceBecameRepublic).
HasProperty(EndOfMonarchy, AbolitionOfFeudalPrivileges).
HasProperty(EnlightenmentIdeas, Democracy).
HasProperty(EnlightenmentIdeas, Equality).
HasProperty(EnlightenmentIdeas, InspirationForLiberty).
HasProperty(EnlightenmentIdeas, Liberty).
HasProperty(EstatesGeneral, FormationOfNationalAssembly).
HasProperty(EthicsFairness, AddressBiases).
HasProperty(EthicsFairness, AvoidDiscriminatoryOutcomes).
HasProperty(EvaluationMetrics, Accuracy).
HasProperty(EvaluationMetrics, F1Score).
HasProperty(EvaluationMetrics, MeanSquaredError).
HasProperty(EvaluationMetrics, Precision).
HasProperty(EvaluationMetrics, Recall).
HasProperty(EvaluationMetrics, R²).
HasProperty(Evidence, FossilMatches).
HasProperty(Evidence, FossilRecords).
HasProperty(Evidence, GPSMeasurements).
HasProperty(Evidence, MagneticStriping).
HasProperty(Evidence, RockFormations).
HasProperty(Evidence, SeafloorSpreading).
HasProperty(Features, RelevantAttributes).
HasProperty(Features, RelevantInputVariables).
HasProperty(FeudalismAbolished, EliminatedNobilityClergyPrivileges).
HasProperty(FinancialCrisis, Bankruptcy).
HasProperty(FlyingButtresses, ExpansiveStainedGlassWindows).
HasProperty(FlyingButtresses, ExpansiveWindows).
HasProperty(FlyingButtresses, ExternalSupports).
HasProperty(FlyingButtresses, TallerWalls).
HasProperty(FoodShortages, PublicAnger).
HasProperty(France, EliminatedPrivileges).
HasProperty(France, SeizedChurchLands).
HasProperty(France, SeparatedReligionFromState).
HasProperty(FrenchRevolution, InfluencedModernHistory).
HasProperty(FrenchRevolution, LaidFoundationForModernDemocracy).
HasProperty(FrenchRevolution, RadicalPoliticalUpheaval).
HasProperty(FrenchRevolution, RadicalSocialPoliticalUpheaval).
HasProperty(FrenchRevolution, ReshapedPoliticalLandscape).
HasProperty(FrenchRevolution, SawViolenceInstability).
HasProperty(FrenchRevolution, SocialUpheaval).
HasProperty(FrenchRevolution, ViolenceInstability).
HasProperty(GPSData, PlateMotionConfirmation).
HasProperty(GPSMeasurements, ConfirmPlateMotions).
HasProperty(GPSMeasurements, Evidence).
HasProperty(Generalization, CrossValidation).
HasProperty(Generalization, PerformWellOnUnseenData).
HasProperty(Generalization, Regularization).
HasProperty(GlobalImpact, InspiredRevolutionsSpreadDemocraticIdeals).
HasProperty(GlobalImpact, SpreadOfDemocraticIdeals).
HasProperty(GothicArchitecture, AdvancementsInEngineering).
HasProperty(GothicArchitecture, MedievalChristianDevotion).
HasProperty(GothicCathedrals, ArchitecturalInnovations).
HasProperty(GothicCathedrals, ArtisticAchievements).
HasProperty(GothicCathedrals, Beauty).
HasProperty(GothicCathedrals, EmphasizedHeight).
HasProperty(GothicCathedrals, EmphasizedLight).
HasProperty(GothicCathedrals, FlyingButtresses).
HasProperty(GothicCathedrals, Gargoyles).
HasProperty(GothicCathedrals, Grander).
HasProperty(GothicCathedrals, Grandeur).
HasProperty(GothicCathedrals, Height).
HasProperty(GothicCathedrals, IconicArtisticSignificance).
HasProperty(GothicCathedrals, IconicSpiritualSignificance).
HasProperty(GothicCathedrals, Light).
HasProperty(GothicCathedrals, LightRepresentation).
HasProperty(GothicCathedrals, LuminousInteriors).
HasProperty(GothicCathedrals, PointedArches).
HasProperty(GothicCathedrals, RibbedVaults).
HasProperty(GothicCathedrals, Sculptures).
HasProperty(GothicCathedrals, SpiritualAchievements).
HasProperty(GothicCathedrals, SpiritualAmbition).
HasProperty(GothicCathedrals, StainedGlass).
HasProperty(GothicCathedrals, TechnicalAchievements).
HasProperty(GothicCathedrals, UNESCOProtection).
HasProperty(GothicCathedrals, Verticality).
HasProperty(GothicCathedrals, WorldHeritageSites).
HasProperty(GovernmentIntervention, BoostDemand).
HasProperty(GovernmentIntervention, ReduceUnemployment).
HasProperty(HeliumBurning, FusionVonHeliumZuCarbonUndOxygen).
HasProperty(HumanBrain, ComplexSystems).
HasProperty(HumanBrain, EnergyUse).
HasProperty(HumanBrain, HighEnergyConsumption).
HasProperty(HumanBrain, HighEnergyUse).
HasProperty(HumanBrain, InformationProcessing).
HasProperty(HumanBrain, Neuroplasticity).
HasProperty(HumanBrain, Plasticity).
HasProperty(HydrogenBurning, FusionVonHydrogenZuHelium).
HasProperty(ImmanuelKant, AutonomyAndReason).
HasProperty(ImmanuelKant, CopernicanRevolutionInPhilosophy).
HasProperty(ImmanuelKant, EmphasizeReasonRoleAndLimits).
HasProperty(ImmanuelKant, EmphasizedRationalAutonomy).
HasProperty(ImmanuelKant, EmphasizesAutonomy).
HasProperty(ImmanuelKant, EmphasizesLimitsOfHumanKnowledge).
HasProperty(ImmanuelKant, EmphasizesReason).
HasProperty(ImmanuelKant, GermanEnlightenmentPhilosopher).
HasProperty(ImmanuelKant, GermanPhilosopher).
HasProperty(ImmanuelKant, InfluenceOnContemporaryEthics).
HasProperty(ImmanuelKant, InfluenceOnExistentialism).
HasProperty(ImmanuelKant, InfluenceOnGermanIdealism).
HasProperty(ImmanuelKant, InfluenceOnModernPhilosophy).
HasProperty(ImmanuelKant, InfluencedModernPhilosophy).
HasProperty(ImmanuelKant, Influential).
HasProperty(ImmanuelKant, LastingLegacyInWesternThought).
HasProperty(ImmanuelKant, RevolutionizedEpistemology).
HasProperty(ImmanuelKant, RevolutionizedEthics).
HasProperty(ImmanuelKant, RevolutionizedMetaphysics).
