HasLocation(AdvancedFusion, MassiveStars).
HasLocation(AestheticsAndJudgment, CritiqueOfJudgment).
HasLocation(AncientEgypt, NileRiver).
HasLocation(AncientEgypt, NortheastAfrica).
HasLocation(AncientEgyria, NortheastAfrica).
HasLocation(ByzantineEmpire, Constantinople).
HasLocation(CanterburyCathedral, England).
HasLocation(CategoricalImperative, GroundworkOfTheMetaphysicsOfMorals).
HasLocation(ChartresCathedral, France).
HasLocation(CnoCycle, StarCore).
HasLocation(CnoCycle, StarsCore).
HasLocation(CologneCathedral, Germany).
HasLocation(Constantinople, Istanbul).
HasLocation(CopernicanRevolutionInPhilosophy, CritiqueOfPureReason).
HasLocation(EmotionProcessing, Amygdala).
HasLocation(ExperimentalConfirmation, AlainAspectExperiments).
HasLocation(ExperimentalConfirmation, LoopholeFreeExperiments).
HasLocation(FrenchRevolution, France).
HasLocation(GothicCathedrals, MedievalEurope).
HasLocation(GreatPyramidOfGiza, Giza).
HasLocation(HagiaSophia, Constantinople).
HasLocation(HigherCognition, CerebralCortex).
HasLocation(Himalayas, ConvergentBoundaries).
HasLocation(ImmanuelKant, GermanPhilosopher).
HasLocation(KeynesianEconomics, ModernMacroeconomicPolicy).
HasLocation(KrebsCycle, Cytoplasm).
HasLocation(KrebsCycle, Mitochondria).
HasLocation(KrebsCycle, MitochondrialMatrix).
HasLocation(LandRoutes, CentralAsia).
HasLocation(LandRoutes, China).
HasLocation(LandRoutes, Europe).
HasLocation(LandRoutes, Mediterranean).
HasLocation(LandRoutes, MiddleEast).
HasLocation(LandRoutes, Persia).
HasLocation(MaritimeRoutes, Arabia).
HasLocation(MaritimeRoutes, China).
HasLocation(MaritimeRoutes, EastAfrica).
HasLocation(MaritimeRoutes, India).
HasLocation(MemoryFormation, Hippocampus).
HasLocation(MidOceanRidges, DivergentBoundaries).
HasLocation(MoralPhilosophy, GroundworkOfTheMetaphysicsOfMorals).
HasLocation(MovementAndHabitFormation, BasalGanglia).
HasLocation(Neurogenesis, Hippocampus).
HasLocation(NorthernRoute, BlackSea).
HasLocation(NorthernRoute, China).
HasLocation(NotreDame, Paris).
HasLocation(NotreDameDeParis, France).
HasLocation(OttomanEmpireBlockade, LandRoutes).
HasLocation(Pharaohs, ValleyOfTheKings).
HasLocation(Plates, Asthenosphere).
HasLocation(ProtonProtonChain, StarCore).
HasLocation(ProtonProtonChain, StarsCore).
HasLocation(QuantumEntanglement, Universe).
HasLocation(SalisburyCathedral, England).
HasLocation(SanAndreasFault, TransformBoundaries).
HasLocation(SeaRoutes, China).
HasLocation(SeaRoutes, EastAfrica).
HasLocation(SeaRoutes, India).
HasLocation(SeaRoutes, Mediterranean).
HasLocation(SeismicActivity, PlateBoundaries).
HasLocation(SendEnvoy, CentralAsia).
HasLocation(SeveralPlates, Asthenosphere).
HasLocation(SilkRoad, Antiochia).
HasLocation(SilkRoad, CentralAsia).
HasLocation(SilkRoad, Changan).
HasLocation(SilkRoad, China).
HasLocation(SilkRoad, Constantinople).
HasLocation(SilkRoad, East).
HasLocation(SilkRoad, EastAndWest).
HasLocation(SilkRoad, Europe).
HasLocation(SilkRoad, India).
HasLocation(SilkRoad, Konstantinopel).
HasLocation(SilkRoad, Mediterranean).
HasLocation(SilkRoad, MiddleEast).
HasLocation(SilkRoad, Persia).
HasLocation(SilkRoad, RomanEmpire).
HasLocation(SilkRoad, Rome).
HasLocation(SilkRoad, West).
HasLocation(SilkRoadAnfang, China).
HasLocation(SilkRoadEnde, Mittelmeer).
HasLocation(SouthernRoute, China).
HasLocation(SouthernRoute, India).
HasLocation(SouthernRoute, Mediterranean).
HasLocation(StellarNucleosynthesis, StarCores).
HasLocation(StellarNucleosynthesis, StellarCores).
HasLocation(StormingOfTheBastille, Bastille).
HasLocation(SupernovaNucleosynthesis, MassiveStars).
HasLocation(VolcanicActivity, PlateBoundaries).
HasLocation(WestminsterAbbey, England).
