category,id,label,write
KNOWLEDGE_BASE,search_knowledge,Search Knowledge,False
KNOWLEDGE_BASE,get_facts_count,Get Facts Count,False
KNOWLEDGE_BASE,add_fact,Add Fact,True
KNOWLEDGE_BASE,delete_fact,Delete Fact,True
KNOWLEDGE_BASE,update_fact,Update Fact,True
KNOWLEDGE_BASE,bulk_add_facts,Bulk Add Facts,True
KNOWLEDGE_BASE,bulk_delete,Bulk Delete Facts,True
KNOWLEDGE_BASE,bulk_translate_predicates,Translate Predicates,True
KNOWLEDGE_BASE,get_recent_facts,Get Recent Facts,False
KNOWLEDGE_BASE,get_predicates_stats,Get Predicate Stats,False
KNOWLEDGE_BASE,get_system_status,Get System Status,False
KNOWLEDGE_BASE,kb_stats,Get KB Stats,False
KNOWLEDGE_BASE,list_audit,List Audit Trail,False
KNOWLEDGE_BASE,export_facts,Export Facts,False
KNOWLEDGE_BASE,growth_stats,Get Growth Stats,False
KNOWLEDGE_BASE,semantic_similarity,Find Similar,False
KNOWLEDGE_BASE,consistency_check,Check Consistency,False
KNOWLEDGE_BASE,validate_facts,Validate Facts Syntax,False
KNOWLEDGE_BASE,get_entities_stats,Get Entity Stats,False
KNOWLEDGE_BASE,search_by_predicate,Search by Predicate,False
KNOWLEDGE_BASE,get_fact_history,Get Fact History,False
KNOWLEDGE_BASE,query_related,Query Related Facts,False
KNOWLEDGE_BASE,analyze_duplicates,Analyze Duplicates,False
KNOWLEDGE_BASE,get_knowledge_graph,Get Knowledge Graph,False
KNOWLEDGE_BASE,find_isolated_facts,Find Isolated Facts,False
KNOWLEDGE_BASE,inference_chain,Get Inference Chain,False
DB_ADMIN,db_get_pragma,Get DB PRAGMAs,False
DB_ADMIN,db_enable_wal,Enable WAL Mode,True
DB_ADMIN,db_vacuum,Vacuum Database,True
DB_ADMIN,db_checkpoint,Force DB Checkpoint,True
DB_ADMIN,db_backup_now,Create DB Backup,True
DB_ADMIN,db_backup_rotate,Rotate DB Backups,True
PROJECT_HUB,project_snapshot,Create Project Snapshot,True
PROJECT_HUB,project_list_snapshots,List Project Snapshots,False
PROJECT_HUB,project_hub_digest,Create Hub Digest,False
NICHE_SYSTEM,niche_list,List All Niches,False
NICHE_SYSTEM,niche_stats,Get Niche Stats,False
NICHE_SYSTEM,niche_query,Query a Niche,False
SENTRY_MONITORING,sentry_test_connection,Test Sentry Connection,False
SENTRY_MONITORING,sentry_whoami,Sentry Who Am I,False
SENTRY_MONITORING,sentry_find_organizations,Find Sentry Orgs,False
SENTRY_MONITORING,sentry_find_projects,Find Sentry Projects,False
SENTRY_MONITORING,sentry_search_issues,Search Sentry Issues,False
AI_DELEGATION,delegate_task,Delegate to AI,False
AI_DELEGATION,consensus_evaluator,Consensus Eval,False
AI_DELEGATION,delegation_optimizer,Optimize Delegation,False
AI_DELEGATION,reliability_checker,Check Tool Reliability,False
AI_DELEGATION,bias_detector,Detect Tool Bias,False
ENGINES,thesis_pattern_analysis,THESIS Pattern Analysis,False
