HasPurpose(AbolitionOfFeudalism, EliminatePrivileges).
HasPurpose(AestheticJudgment, UniversallyCommunicable).
HasPurpose(Aesthetics, HumanCognition).
HasPurpose(AestheticsAndJudgment, AnalyzingBeauty).
HasPurpose(AestheticsAndJudgment, AnalyzingPurposivenessInNature).
HasPurpose(Amygdala, EmotionProcessing).
HasPurpose(AnapleroticReactions, IntermediateReplenishment).
HasPurpose(AncientEgypt, InfluenceArchitecture).
HasPurpose(AncientEgypt, InfluenceArt).
HasPurpose(AncientEgypt, InfluenceCulture).
HasPurpose(Asthenosphere, SupportPlates).
HasPurpose(AutonomyAndReason, ActingFromDuty).
HasPurpose(AutonomyOfReason, Enlightenment).
HasPurpose(Axon, SendSignals).
HasPurpose(BasalGanglia, HabitFormation).
HasPurpose(BasalGanglia, Movement).
HasPurpose(BasalGanglia, Reward).
HasPurpose(BeliefInAfterlife, Mummification).
HasPurpose(BeliefInAfterlife, Pyramids).
HasPurpose(BellTheorem, DistinguishQuantumEntanglement).
HasPurpose(BeltAndRoadInitiative, ReferenceHistoricalSignificance).
HasPurpose(BiasVarianceTradeoff, BalanceModelComplexity).
HasPurpose(BiasVarianceTradeoff, BalancingBoth).
HasPurpose(BookOfTheDead, GuideToAfterlife).
HasPurpose(ByzantineEmpire, InfluenceSlavicCultures).
HasPurpose(ByzantineEmpire, InfluenceSlavicStates).
HasPurpose(ByzantineEmpire, InfluencedSlavicCultures).
HasPurpose(ByzantineEmpire, InfluencedSlavicStates).
HasPurpose(ByzantineEmpire, Preservation).
HasPurpose(ByzantineEmpire, PreserveClassicalKnowledge).
HasPurpose(ByzantineEmpire, PreserveGrecoRomanCulture).
HasPurpose(ByzantineEmpire, PreserveGrecoRomanKnowledge).
HasPurpose(ByzantineEmpire, PreserveGreekRomanKnowledge).
HasPurpose(ByzantineEmpire, PreservedClassicalKnowledge).
HasPurpose(ByzantineEmpire, PreservedGrecoRomanCulture).
HasPurpose(ByzantineEmpire, PreservedGreekAndRomanKnowledge).
HasPurpose(ByzantineEmpire, PreservedGreekRomanKnowledge).
HasPurpose(ByzantineEmpire, PreservedKnowledge).
HasPurpose(ByzantineEmpire, ShapeEasternOrthodoxChristianity).
HasPurpose(ByzantineEmpire, ShapeOrthodoxChristianity).
HasPurpose(ByzantineEmpire, ShapedOrthodoxChristianity).
HasPurpose(ByzantineEmpire, SpreadingChristianity).
HasPurpose(CategoricalImperative, ActAccordingToUniversalLaws).
HasPurpose(CategoricalImperative, MoralPhilosophy).
HasPurpose(CategoricalImperative, MoralityFromRationalDuty).
HasPurpose(CategoricalImperative, TreatHumanityAsEnd).
HasPurpose(CategoricalImperative, UniversalPrinciples).
HasPurpose(CategoricalImperative,Rationality).
HasPurpose(CentralBanks, EncourageBorrowing).
HasPurpose(CentralBanks, EncourageSpending).
HasPurpose(CentralBanks, LowerInterestRates).
HasPurpose(CerebralCortex, HigherOrderFunctions).
HasPurpose(CerebralCortex, Language).
HasPurpose(CerebralCortex, Reasoning).
HasPurpose(Circuits, Cognition).
HasPurpose(Circuits, MotorControl).
HasPurpose(CnoCycle, ReleaseEnergy).
HasPurpose(CommitteeOfPublicSafety, SuppressOpposition).
HasPurpose(Constantinople, Capital).
HasPurpose(Constantinople, Hauptstadt).
HasPurpose(ConstitutionalMonarchy, LimitingKingPowers).
HasPurpose(ContinentalDrift, ExplainContinentsFit).
HasPurpose(Convergent, OceanBasinsDestruction).
HasPurpose(ConvergentBoundary, Himalayas).
HasPurpose(CopernicanRevolution, ShiftFocusToEpistemology).
HasPurpose(CopernicanRevolution,EmphasisOnActiveRoleOfMind).
HasPurpose(CopernicanRevolution,HumanCognition).
HasPurpose(CopernicanRevolutionInPhilosophy, MindActivelyStructuresExperience).
HasPurpose(CopernicanRevolutionInPhilosophy, ShapingKnowledge).
HasPurpose(Cortex, DecisionMaking).
HasPurpose(Cortex, Memory).
HasPurpose(Cortex, Movement).
HasPurpose(Cortex, Reasoning).
HasPurpose(Cortex, SensoryProcessing).
HasPurpose(CosmicRecycling, EnrichInterstellarGas).
HasPurpose(CounterCyclicalMeasures, SmoothEconomicCycles).
HasPurpose(CounterCyclicalPolicies, AddressDownturns).
HasPurpose(CounterCyclicalPolicies, BalanceEconomy).
