HasPart(AdvancedArchitecture, Karnak).
HasPart(AdvancedFusion, Carbon).
HasPart(AdvancedFusion, Iron).
HasPart(AdvancedFusion, Magnesium).
HasPart(AdvancedFusion, Neon).
HasPart(AdvancedFusion, Nickel).
HasPart(AdvancedFusion, Oxygen).
HasPart(AdvancedFusion, Silicon).
HasPart(AestheticsAndJudgment, CritiqueOfJudgment).
HasPart(AggregateDemand, Consumption).
HasPart(AggregateDemand, GovernmentSpending).
HasPart(AggregateDemand, Investment).
HasPart(AggregateDemand, NetExports).
HasPart(Agriculture, Barley).
HasPart(Agriculture, Wheat).
HasPart(Algorithms, DecisionTrees).
HasPart(Algorithms, NeuralNetworks).
HasPart(Algorithms, SupportVectorMachines).
HasPart(AncientEgypt, Calendars).
HasPart(AncientEgypt, CentralizedGovernment).
HasPart(AncientEgypt, Cleopatra).
HasPart(AncientEgypt, CleopatraVII).
HasPart(AncientEgypt, ComplexBureaucracy).
HasPart(AncientEgypt, GreatPyramid).
HasPart(AncientEgypt, GreatPyramidOfGiza).
HasPart(AncientEgypt, Hatshepsut).
HasPart(AncientEgypt, Hieroglyphics).
HasPart(AncientEgypt, Irrigation).
HasPart(AncientEgypt, Isis).
HasPart(AncientEgypt, Karnak).
HasPart(AncientEgypt, KarnakTemple).
HasPart(AncientEgypt, Khufu).
HasPart(AncientEgypt, KingNarmer).
HasPart(AncientEgypt, LowerEgypt).
HasPart(AncientEgypt, Luxor).
HasPart(AncientEgypt, LuxorTemple).
HasPart(AncientEgypt, MiddleKingdom).
HasPart(AncientEgypt, NewKingdom).
HasPart(AncientEgypt, Nile).
HasPart(AncientEgypt, NileRiver).
HasPart(AncientEgypt, Obelisks).
HasPart(AncientEgypt, OldKingdom).
HasPart(AncientEgypt, Osiris).
HasPart(AncientEgypt, Papyrus).
HasPart(AncientEgypt, Pharaohs).
HasPart(AncientEgypt, Pyramids).
HasPart(AncientEgypt, Ra).
HasPart(AncientEgypt, RamsesII).
HasPart(AncientEgypt, RomanConquest).
HasPart(AncientEgypt, RosettaStone).
HasPart(AncientEgypt, Sphinx).
HasPart(AncientEgypt, TempleOfKarnak).
HasPart(AncientEgypt, TempleOfLuxor).
HasPart(AncientEgypt, Temples).
HasPart(AncientEgypt, Tombs).
HasPart(AncientEgypt, Tutankhamun).
HasPart(AncientEgypt, TutankhamunTomb).
HasPart(AncientEgypt, UpperEgypt).
HasPart(Applications, AutonomousVehicles).
HasPart(Applications, ComputerVision).
HasPart(Applications, Healthcare).
HasPart(Applications, ImageRecognition).
HasPart(Applications, NaturalLanguageProcessing).
HasPart(Applications, RecommendationSystems).
HasPart(AutomaticStabilizers, UnemploymentBenefits).
HasPart(BiasVarianceTradeoff, Bias).
HasPart(BiasVarianceTradeoff, Variance).
HasPart(BigBang, Helium).
HasPart(BigBang, Hydrogen).
HasPart(BigBang, SomeLithium).
HasPart(BlackHole, EventHorizon).
HasPart(Brain, BrainRegions).
HasPart(Brain, Cortex).
HasPart(Brain, Hippocampus).
HasPart(Brain, Neurons).
HasPart(Brain, Synapses).
HasPart(ByzantineEmpire, DefensiveWars).
HasPart(ByzantineEmpire, EasternOrthodoxChristianity).
HasPart(ByzantineEmpire, EasternOrthodoxChurch).
HasPart(ByzantineEmpire, FallOfConstantinople).
HasPart(ByzantineEmpire, GreatSchism).
HasPart(ByzantineEmpire, GreekFire).
HasPart(ByzantineEmpire, HagiaSophia).
HasPart(ByzantineEmpire, JustinianI).
HasPart(ByzantineEmpire, MehmedII).
HasPart(ByzantineEmpire, SchismOf1054).
HasPart(ByzantineEmpire, ThematicSystem).
HasPart(ByzantineEmpire, ThemeSystem).
HasPart(ByzantineEmpire, TheodosianWalls).
HasPart(CPU, ALU).
HasPart(CPU, ControlUnit).
HasPart(CategoricalImperative, ActAccordingToUniversalizableMaxims).
HasPart(CategoricalImperative, GroundworkOfTheMetaphysicsOfMorals).
HasPart(CategoricalImperative, HumanityAsEnd).
HasPart(CategoricalImperative, HumanityPrinciple).
HasPart(CategoricalImperative, KingdomOfEnds).
HasPart(CategoricalImperative, Principle1).
HasPart(CategoricalImperative, Principle2).
HasPart(CategoricalImperative, TreatHumanityAsAnEnd).
HasPart(CategoricalImperative, UniversalMoralLaw).
HasPart(CategoricalImperative, UniversalityPrinciple).
HasPart(CategoricalImperative, Universalizability).
HasPart(CategoriesOfUnderstanding, Causality).
HasPart(CategoriesOfUnderstanding, Substance).
HasPart(CentralizedMonarchy, Pharaohs).
HasPart(Computer, CPU).
HasPart(Computer, HardDrive).
HasPart(Computer, Motherboard).
HasPart(Computer, PowerSupply).
HasPart(Computer, RAM).
HasPart(Computer, StorageDevice).
HasPart(Constantinople, TheodosianWalls).
HasPart(ConstitutionalMonarchy, KingLouisXVI).
HasPart(Convergent, SubductionZones).
HasPart(CopernicanRevolutionInPhilosophy, CritiqueOfPureReason).
HasPart(CopernicanRevolutionInPhilosophy, MindActivelyStructuresExperience).
HasPart(CopernicanRevolutionInPhilosophy, PerceiveRealityThroughInnateCategories).
HasPart(CopernicanRevolutionInPhilosophy, ReverseTraditionalEmpiricistRationalistViews).
HasPart(CoreCollapseSupernovae, RapidNeutronCapture).
HasPart(CounterCyclicalPolicies, ContractionaryMeasures).
HasPart(CounterCyclicalPolicies, DeficitsInDownturns).
HasPart(CounterCyclicalPolicies, ExpansionaryMeasures).
HasPart(CounterCyclicalPolicies, Stimulus).
HasPart(CounterCyclicalPolicies, SurplusesInBooms).
HasPart(CriticalPhilosophy, CritiqueOfJudgment).
HasPart(CriticalPhilosophy, CritiqueOfPracticalReason).
HasPart(CriticalPhilosophy, CritiqueOfPureReason).
HasPart(CritiqueOfJudgment, BeautyAnalysis).
HasPart(CritiqueOfJudgment, PurposivenessInNature).
HasPart(CritiqueOfPracticalReason, CategoricalImperative).
HasPart(CritiqueOfPracticalReason, GodPostulation).
HasPart(CritiqueOfPracticalReason, HighestGood).
HasPart(CritiqueOfPracticalReason, ImmortalityPostulation).
HasPart(CritiqueOfPracticalReason, MoralLaw).
HasPart(CritiqueOfPureReason, HumanKnowledge).
HasPart(CritiqueOfPureReason, InnateMentalStructures).
HasPart(CritiqueOfPureReason, Noumena).
HasPart(CritiqueOfPureReason, Phenomena).
HasPart(CritiqueOfPureReason, SensoryExperience).
HasPart(DNA, AntiparallelStrands).
HasPart(DNA, DoubleHelix).
HasPart(DNA, MajorGrooves).
HasPart(DNA, MinorGrooves).
HasPart(DNA, Nucleotides).
HasPart(DNA, SugarPhosphateBackbone).
HasPart(DNAStructure, ContributionsFromRosalindFranklin).
HasPart(Data, RepresentativeDatasets).
HasPart(Debates, FiscalStimulus).
HasPart(DefensiveWars, Arabs).
HasPart(DefensiveWars, Crusaders).
HasPart(DefensiveWars, GreekFire).
HasPart(DefensiveWars, Persians).
HasPart(DefensiveWars, SeljukTurks).
HasPart(DefensiveWars, TheodosianWalls).
HasPart(DeontologicalEthics, CategoricalImperative).
HasPart(Divergent, MidOceanRidges).
HasPart(Earth, Asthenosphere).
HasPart(Earth, Lithosphere).
HasPart(Earth, MajorPlates).
HasPart(Earth, MinorPlates).
HasPart(Earth, TectonicPlates).
HasPart(EarthLithosphere, MajorPlates).
HasPart(EarthLithosphere, MinorPlates).
HasPart(EarthLithosphere, Plates).
HasPart(EarthLithosphere, RigidOuterShell).
HasPart(EarthSurface, LargeTectonicPlates).
HasPart(EarthSurface, SmallTectonicPlates).
HasPart(ElementsBeyondIron, AgbStars).
HasPart(ElementsBeyondIron, MergingNeutronStars).
HasPart(ElementsBeyondIron, NeutronCapture).
HasPart(ElementsBeyondIron, RProcess).
HasPart(ElementsBeyondIron, SProcess).
HasPart(ElementsBeyondIron, Supernovae).
HasPart(EnlightenmentIdeas, Rousseau).
HasPart(EnlightenmentIdeas, Voltaire).
HasPart(Epistemology, CategoriesOfUnderstanding).
HasPart(Epistemology, SyntheticAPrioriKnowledge).
HasPart(Epistemology, TranscendentalIdealism).
HasPart(EstatesSystem, Clergy).
HasPart(EstatesSystem, Commoners).
HasPart(EstatesSystem, Nobility).
HasPart(EthicalConcerns, Bias).
HasPart(EthicalConcerns, Privacy).
HasPart(EthicsFairness, AlgorithmBiases).
HasPart(EthicsFairness, Fairness).
HasPart(EthicsFairness, Transparency).
HasPart(EukaryotesDNA, Histones).
HasPart(EvaluationMetrics, AUCROC).
HasPart(EvaluationMetrics, Accuracy).
HasPart(EvaluationMetrics, F1Score).
HasPart(EvaluationMetrics, MeanSquaredError).
HasPart(EvaluationMetrics, Precision).
HasPart(EvaluationMetrics, Recall).
HasPart(Evidence, EarthquakePatterns).
HasPart(Evidence, FossilMatches).
HasPart(Evidence, FossilRecords).
HasPart(Evidence, GPSMeasurements).
HasPart(Evidence, MagneticStriping).
HasPart(Evidence, OceanFloorMapping).
HasPart(Evidence, RockFormations).
HasPart(Evidence, VolcanoPatterns).
HasPart(Features, FeatureEngineering).
HasPart(Features, RelevantAttributes).
HasPart(FinancialCrisis, CostlyWars).
HasPart(FiscalPolicy, IncreasedPublicSpending).
HasPart(FiscalPolicy, TaxCuts).
HasPart(FiscalStimulus, COVID19Relief).
HasPart(FiscalStimulus, FinancialCrisis2008).
HasPart(ForeignPowers, Alexander).
HasPart(ForeignPowers, Assyrians).
HasPart(ForeignPowers, Greeks).
HasPart(ForeignPowers, Persians).
HasPart(ForeignPowers, Rome).
HasPart(FrenchRevolution, AbolitionFeudalism).
HasPart(FrenchRevolution, CommitteeOfPublicSafety).
HasPart(FrenchRevolution, ConstitutionalMonarchy).
HasPart(FrenchRevolution, DeclarationOfTheRightsOfManAndCitizen).
HasPart(FrenchRevolution, DeclarationRightsMan).
HasPart(FrenchRevolution, DeclarationRightsManCitizen).
HasPart(FrenchRevolution, Directory).
HasPart(FrenchRevolution, DirectoryRule).
HasPart(FrenchRevolution, EndOfFeudalism).
HasPart(FrenchRevolution, EstatesGeneralMeeting).
HasPart(FrenchRevolution, ExecutionOfLouisXVI).
HasPart(FrenchRevolution, ExecutionOfMarieAntoinette).
HasPart(FrenchRevolution, FirstFrenchRepublic).
HasPart(FrenchRevolution, MonarchyAbolished).
HasPart(FrenchRevolution, NapoleonCoup).
HasPart(FrenchRevolution, NapoleonicCoup).
HasPart(FrenchRevolution, NapoleonicEra).
HasPart(FrenchRevolution, NapoleonsCoup).
HasPart(FrenchRevolution, NationalAssembly).
HasPart(FrenchRevolution, Progress).
HasPart(FrenchRevolution, RadicalPhase).
HasPart(FrenchRevolution, ReignTerror).
HasPart(FrenchRevolution, RiseNapoleon).
HasPart(FrenchRevolution, SeptemberMassacres).
HasPart(FrenchRevolution, SpreadOfRevolutionaryIdeas).
HasPart(FrenchRevolution, StormingBastille).
HasPart(FrenchRevolution, TheDirectory).
HasPart(FrenchRevolution, ThermidorianReaction).
HasPart(FrenchRevolution, Violence).
HasPart(FrenchRevolution, WarAustriaPrussia).
HasPart(FrenchRevolution, WarWithAustriaPrussia).
HasPart(FrenchRevolution, WarWithEurope).
HasPart(Generalization, Testing).
HasPart(Generalization, Validation).
HasPart(GeologicTime, Supercontinents).
HasPart(GoodsTraded, Glassware).
HasPart(GoodsTraded, Gold).
HasPart(GoodsTraded, Horses).
HasPart(GoodsTraded, Paper).
HasPart(GoodsTraded, Porcelain).
HasPart(GoodsTraded, Silk).
HasPart(GoodsTraded, Silver).
HasPart(GoodsTraded, Spices).
HasPart(GoodsTraded, Wool).
HasPart(GothicCathedrals, ChartresCathedral).
HasPart(GothicCathedrals, CologneCathedral).
HasPart(GothicCathedrals, ElongatedDesigns).
HasPart(GothicCathedrals, NotreDame).
HasPart(GothicCathedrals, NotreDameDeParis).
HasPart(GothicCathedrals, SalisburyCathedral).
HasPart(GothicCathedrals, SoaringSpire).
HasPart(GothicCathedrals, StainedGlassWindows).
HasPart(GothicCathedrals, TallNaves).
HasPart(GothicCathedrals, TallSpire).
HasPart(GothicCathedrals, Verticality).
HasPart(GovernmentIntervention, IncreasedGovernmentSpending).
HasPart(GovernmentIntervention, TaxCuts).
HasPart(GreatSchism, EasternOrthodox).
HasPart(GreatSchism, RomanCatholic).
HasPart(HanDynasty, EmperorWu).
HasPart(HanDynasty, ZhangQian).
HasPart(HeliumBurning, TripleAlphaProcess).
HasPart(HeliumFusion, Carbon).
HasPart(HeliumFusion, Helium).
HasPart(HeliumFusion, Oxygen).
HasPart(HeliumFusion, TripleAlphaProcess).
HasPart(Helix, HelicalTurn).
HasPart(HierarchicalSociety, Farmers).
HasPart(HierarchicalSociety, Priests).
HasPart(HierarchicalSociety, Scribes).
HasPart(HierarchicalSociety, Slaves).
HasPart(HierarchicalSociety, Soldiers).
HasPart(Hieroglyphics, Papyrus).
HasPart(HumanBrain, Cortex).
HasPart(HumanBrain, FrontalLobe).
HasPart(HumanBrain, Hippocampus).
HasPart(HumanBrain, NeuralNetworks).
HasPart(HumanBrain, Neurotransmitters).
HasPart(HumanBrain, OccipitalLobe).
HasPart(HumanBrain, PrefrontalCortex).
HasPart(HumanBrain, VisualCortex).
HasPart(HydrogenBurning, CNOCycle).
HasPart(HydrogenBurning, ProtonProtonChain).
HasPart(HydrogenFusion, CNOCycle).
HasPart(HydrogenFusion, Helium).
HasPart(HydrogenFusion, Hydrogen).
HasPart(HydrogenFusion, ProtonProtonChain).
HasPart(ImmanuelKant, AestheticsAndJudgment).
HasPart(ImmanuelKant, AestheticsAndTeleology).
HasPart(ImmanuelKant, AutonomyAndEnlightenment).
HasPart(ImmanuelKant, CategoriesOfUnderstanding).
HasPart(ImmanuelKant, CopernicanRevolution).
HasPart(ImmanuelKant, CriticalPhilosophy).
HasPart(ImmanuelKant, CritiqueOfJudgment).
HasPart(ImmanuelKant, CritiqueOfPracticalReason).
HasPart(ImmanuelKant, CritiqueOfPureReason).
HasPart(ImmanuelKant, Influence).
HasPart(ImmanuelKant, Legacy).
HasPart(ImmanuelKant, MoralPhilosophy).
HasPart(ImmanuelKant, ReligionAndEnlightenment).
HasPart(ImmanuelKant, ThreeCritiques).
HasPart(ImmanuelKant,ThingInItself).
HasPart(ImmanuelKantWork, Epistemology).
HasPart(ImmanuelKantWork, Ethics).
HasPart(ImmanuelKantWork, Metaphysics).
HasPart(Influence, PostWWIIEconomicPolicies).
HasPart(KantEpistemology, Causality).
HasPart(KantEpistemology, CopernicanRevolution).
HasPart(KantEpistemology, InnateCategoriesOfUnderstanding).
HasPart(KantEpistemology, Space).
HasPart(KantEpistemology, Time).
HasPart(KantEthics, CategoricalImperative).
HasPart(KantMetaphysics, Noumena).
HasPart(KantMetaphysics, Phenomena).
HasPart(KantPhilosophy, CritiqueOfJudgment).
HasPart(KantPhilosophy, CritiqueOfPracticalReason).
HasPart(KantPhilosophy, CritiqueOfPureReason).
HasPart(KeyChallenges, BiasVarianceTradeoff).
HasPart(KeyChallenges, ComputationalCosts).
HasPart(KeyChallenges, EthicalConcerns).
HasPart(KeyChallenges, Scalability).
HasPart(KeynesianEconomics, 2008FinancialCrisisResponses).
HasPart(KeynesianEconomics, AutomaticStabilizers).
HasPart(KeynesianEconomics, CyclicalUnemployment).
HasPart(KeynesianEconomics, DemandDeficiencies).
HasPart(KeynesianEconomics, DemandDrivenGrowth).
HasPart(KeynesianEconomics, EconomicDownturns).
HasPart(KeynesianEconomics, Employment).
HasPart(KeynesianEconomics, FiscalPolicies).
HasPart(KeynesianEconomics, FiscalPolicy).
HasPart(KeynesianEconomics, Income).
HasPart(KeynesianEconomics, ModernStimulusPackages).
HasPart(KeynesianEconomics, NewDeal).
HasPart(KeynesianEconomics, ParadoxOfThrift).
HasPart(KeynesianEconomics, PublicSpending).
HasPart(KeynesianEconomics, Recessions).
HasPart(KeynesianEconomics, ShortRunFocus).
HasPart(KeynesianEconomics, StimulusPackages).
HasPart(KeynesianEconomics, TaxCuts).
HasPart(KeynesianEconomics, UnemploymentBenefits).
HasPart(KingLouisXVI, EstatesGeneral).
HasPart(KrebsCycle, ATP).
HasPart(KrebsCycle, AcetylCoA).
HasPart(KrebsCycle, AllostericFeedback).
HasPart(KrebsCycle, AlphaKetoglutarate).
HasPart(KrebsCycle, AminoAcidMetabolism).
HasPart(KrebsCycle, Anabolism).
HasPart(KrebsCycle, AnapleroticReactions).
HasPart(KrebsCycle, BetaOxidation).
HasPart(KrebsCycle, CO₂).
HasPart(KrebsCycle, CellularRespiration).
HasPart(KrebsCycle, Citrate).
HasPart(KrebsCycle, CitrateSynthase).
HasPart(KrebsCycle, Co2).
HasPart(KrebsCycle, ElectronTransportChain).
HasPart(KrebsCycle, EnzymaticReactions).
HasPart(KrebsCycle, FADH₂).
HasPart(KrebsCycle, Fadh2).
HasPart(KrebsCycle, FattyAcidOxidation).
HasPart(KrebsCycle, GTP).
HasPart(KrebsCycle, Glucose).
HasPart(KrebsCycle, Glycolysis).
HasPart(KrebsCycle, IsocitrateDehydrogenase).
HasPart(KrebsCycle, Malate).
HasPart(KrebsCycle, NADH).
HasPart(KrebsCycle, Oxaloacetate).
HasPart(KrebsCycle, Oxygen).
HasPart(KrebsCycle, Pyruvate).
HasPart(KrebsCycle, PyruvateCarboxylase).
HasPart(KrebsCycle, SubstrateAvailability).
HasPart(KrebsCycle, SuccinylCoa).
HasPart(KrebsCycle, αKetoglutarateDehydrogenase).
HasPart(KulturellerAustausch, Astronomie).
HasPart(KulturellerAustausch, Buddhismus).
HasPart(KulturellerAustausch, Islam).
HasPart(KulturellerAustausch, Kompass).
HasPart(LaterPhilosophyInfluence, ContemporaryEthics).
HasPart(LaterPhilosophyInfluence, Existentialism).
HasPart(LaterPhilosophyInfluence, GermanIdealism).
HasPart(Literature, BookOfTheDead).
HasPart(Lithosphere, Crust).
HasPart(Lithosphere, TectonicPlates).
HasPart(Lithosphere, UpperMantle).
HasPart(MachineLearning, Accuracy).
HasPart(MachineLearning, AlgorithmicBias).
HasPart(MachineLearning, AutonomousVehicles).
HasPart(MachineLearning, Bias).
HasPart(MachineLearning, BiasVarianceTradeoff).
HasPart(MachineLearning, Classification).
HasPart(MachineLearning, Clustering).
HasPart(MachineLearning, ComputationalCosts).
HasPart(MachineLearning, ComputationalPower).
HasPart(MachineLearning, DataPrivacy).
HasPart(MachineLearning, DataQuality).
HasPart(MachineLearning, DecisionTrees).
HasPart(MachineLearning, DeepLearning).
HasPart(MachineLearning, EthicalConcerns).
HasPart(MachineLearning, EvaluationMetrics).
HasPart(MachineLearning, F1Score).
HasPart(MachineLearning, FraudDetection).
HasPart(MachineLearning, Generalization).
HasPart(MachineLearning, ImageRecognition).
HasPart(MachineLearning, Interpretability).
HasPart(MachineLearning, KNN).
HasPart(MachineLearning, LinearRegression).
HasPart(MachineLearning, LogisticRegression).
HasPart(MachineLearning, LossFunction).
HasPart(MachineLearning, Mathematics).
HasPart(MachineLearning, MeanSquaredError).
HasPart(MachineLearning, Model).
HasPart(MachineLearning, ModelEvaluation).
HasPart(MachineLearning, NeuralNetworks).
HasPart(MachineLearning, Optimization).
HasPart(MachineLearning, Overfitting).
HasPart(MachineLearning, Precision).
HasPart(MachineLearning, RSquared).
