Causes(A, PairsWithT).
Causes(AbnormalFiring, Epilepsy).
Causes(Adenine, PaarMitThymine).
Causes(Adenine, PairsWithThymine).
Causes(Adenine, Thymine).
Causes(AdvancedBurning, Iron).
Causes(AdvancedBurning, Magnesium).
Causes(AdvancedBurning, Neon).
Causes(AdvancedBurning, Silicon).
Causes(AdvancedBurningPhases, Iron).
Causes(AdvancedBurningPhases, Neon).
Causes(AdvancedBurningPhases, Silicon).
Causes(AdvancedFusion, HeavyElementProduction).
Causes(AdvancedFusion, Iron).
Causes(AdvancedFusion, Magnesium).
Causes(AdvancedFusion, Neon).
Causes(AdvancedFusion, Nickel).
Causes(AdvancedFusion, Silicon).
Causes(AdvancedFusion, Sulfur).
Causes(AggregateDemand, EconomicActivity).
Causes(AggregateDemand, EconomicGrowth).
Causes(AggregateDemand, Employment).
Causes(AlexanderTheGreat, ConqueredAncientEgypt).
Causes(AlexanderTheGreat, ConquestOfEgypt).
Causes(AlexanderTheGreat, Decline).
Causes(AlexanderTheGreat, DeclineOfAncientEgypt).
Causes(Alzheimers, FunctionImpairment).
Causes(AnnualFloods, SoilEnrichment).
Causes(ArtAndNature, DisinterestedPleasure).
Causes(AufstiegDesSeehandels, NiedergangDerSilkRoad).
Causes(AufstiegVonSeehandel, NiedergangVonSilkRoad).
Causes(BasePairing, HeldTogetherByHydrogenBonds).
Causes(BasePairing, HoldStrandsTogether).
Causes(BeliefInAfterlife, ElaborateBurialPractices).
Causes(BeliefInAfterlife, Mummification).
Causes(BlackDeath, DeclineOfSilkRoad).
Causes(BlackHole, Spaghettification).
Causes(BoostDemand, ReduceUnemployment).
Causes(Brain, ConsumeEnergy).
Causes(ByzantineEmpire, DefensiveWars).
Causes(ByzantineEmpire, FourthCrusade).
Causes(ByzantineEmpire, GreatSchism).
Causes(ByzantineEmpire, GreekFire).
Causes(ByzantineEmpire, Influence).
Causes(ByzantineEmpire, InfluenceSlavicCultures).
Causes(ByzantineEmpire, InfluencedSlavicCultures).
Causes(ByzantineEmpire, OttomanTurks).
Causes(ByzantineEmpire, ShapedOrthodoxChristianity).
Causes(C, PairsWithG).
Causes(Chromatin, CondensesIntoChromosomes).
Causes(CleopatraDeath, RomanProvince).
Causes(CnoCycle, EnergyRelease).
Causes(CnoCycle, FuseHydrogenIntoHelium).
Causes(ConnectivityIssues, Schizophrenia).
Causes(ContinentalCollisions, MountainFormation).
Causes(ConvectionCurrents, PlateMovement).
Causes(ConvectionCurrents, PlateMovements).
Causes(Convergent, MountainFormation).
Causes(Convergent, PlatesCollide).
Causes(Convergent, Subduction).
Causes(ConvergentBoundaries, MountainFormation).
Causes(ConvergentBoundaries, PlatesCollide).
Causes(ConvergentBoundaries, Subduction).
Causes(ConvergentBoundary, MountainFormation).
Causes(ConvergentBoundary, PlatesCollide).
Causes(ConvergentBoundary, Subduction).
Causes(CoreCollapse, Supernova).
Causes(CoreCollapse, SupernovaExplosion).
Causes(CoreCollapseSupernovae, CreateElementsHeavierThanIron).
Causes(CosmicRecycling, EnrichInterstellarGas).
Causes(CosmicRecycling, EnrichesInterstellarGas).
Causes(CosmicRecycling, FormNewStarsAndPlanets).
Causes(CosmicRecycling, FormingNewStarsAndPlanets).
Causes(CostlyWars, FinancialCrisis).
Causes(Cytosine, Guanine).
Causes(Cytosine, PaarMitGuanine).
Causes(Cytosine, PairsWithGuanine).
Causes(Decoherence, DisruptEntanglement).
Causes(Decoherence, DisruptionOfEntanglement).
Causes(Decoherence, Fragility).
Causes(Development, Experience).
Causes(Development, ExperienceInfluence).
Causes(Development, GeneticInfluence).
Causes(Development, Genetics).
Causes(Diseases, NetworkDisruption).
Causes(Divergent, PlatesMoveApart).
Causes(DivergentBoundaries, NewCrustCreation).
Causes(DivergentBoundaries, PlatesMoveApart).
Causes(DivergentBoundary, PlatesMoveApart).
Causes(DysfunctionalNetworks, Autism).
Causes(DysfunctionalNetworks, Epilepsy).
Causes(Dysfunctions, Alzheimers).
Causes(Dysfunctions, Autism).
Causes(Dysfunctions, Epilepsy).
Causes(Dysfunctions, MentalHealthConditions).
Causes(Dysfunctions, Parkinsons).
Causes(Efficiency, Myelination).
Causes(Efficiency, OptimizedCommunication).
Causes(Efficiency, PathwayOptimization).
Causes(Efficiency, Pruning).
Causes(Efficiency, UnusedConnectionPruning).
Causes(EndOfFeudalism, AbolishedPrivileges).
Causes(EnlightenmentIdeas, DemandsForLiberty).
